Code,Exercise,Group1
1,Lateral Raise,Shoulders
3,Overhead Triceps Extensions,Triceps
5,Hammer Curls,Biceps
7,Biceps Curl,Biceps
9,Shoulder Press,Chest
11,Bench Press,Chest
13,Kneeling Wood Throws,Core
15,Renegade Row,Compound
17,Tricep Throwback,Triceps
19,Russian Twist,Core
21,Bent-over Flyes,Shoulders
23,Standing Heel Raises,LowerLegs
25,Shoulder Shrug,Shoulders
40,Ab Twist Machine,Core
42,Hanging Alternating Leg Lift/knee Lift,Core
46,sitting ab crunch machine,Core
49,Superman,Back
52,Cobra,Core
55,Laying Heel Touches,Core
58,Plank,Core
60,Laying Leg Lift And Hold,Core
64,Standing Knee Lift With Twist,Core
65,Standing Side Bend,Core
66,Standing Crunch,Core
67,Laying Elbow-back Lifts,Back
82,One leg cobra,Core
83,Flyes,Chest
84,Triceps Extension,Triceps
85,Leg Raise,Core
86,Straight Arm Pullover,Chest
87,One-Arm Rows,Back
88,High Bicep Curls,Biceps
89,Front Lateral Raise,Shoulders
90,Reverse Bicep Curls,Biceps
92,Upright Row,Shoulders
